Date	Time	Open	High	Low	Close	Vol	OI	2009	2010	2011	2012	2013	2014	2015	2016	2017
1/14/2010	17:00	20.685	20.81	20.525	20.725	24813	80067		0.005092144							
1/15/2010	17:00	20.75	20.76	20.47	20.497	22837	80748		-0.011001206							
1/19/2010	17:00	20.725	20.95	20.47	20.87	35857	82108		0.018197785							
1/20/2010	17:00	20.86	20.94	19.875	19.95	53618	75187		-0.044082415							
1/21/2010	17:00	19.98	20.135	19.41	19.58	50924	73803		-0.018546366							
1/22/2010	17:00	19.525	19.59	18.95	19.002	46913	72559		-0.029519918							
1/25/2010	17:00	19.12	19.345	19.06	19.215	27773	70889		0.011209346							
1/26/2010	17:00	19.225	19.34	18.41	18.93	46809	70681		-0.014832162							
1/27/2010	17:00	18.87	19.035	18.495	18.51	33157	70159		-0.022187005							
1/28/2010	17:00	18.66	18.825	18.085	18.282	45229	66523		-0.012317666							
1/29/2010	17:00	18.33	18.445	18.095	18.26	34638	66831		-0.001203369							
2/1/2010	17:00	18.26	18.785	18.175	18.73	32608	64628		0.025739321							
2/2/2010	17:00	18.765	18.88	18.625	18.813	30476	65080		0.004431393							
2/3/2010	17:00	18.81	19.02	18.35	18.387	39504	64593		-0.022643916							
2/4/2010	17:00	18.47	18.485	17.26	17.42	66055	62174		-0.052591505							
2/5/2010	17:00	17.375	17.45	16.72	16.9	58180	60991		-0.029850746							
2/8/2010	17:00	17.23	17.39	17.02	17.155	34599	57350		0.015088757							
2/9/2010	17:00	17.095	17.665	17.085	17.505	45762	54047		0.020402215							
2/10/2010	17:00	17.545	17.715	17.145	17.37	42715	50945		-0.007712082							
2/11/2010	17:00	17.27	17.8	17.245	17.66	40994	47565		0.016695452							
2/12/2010	17:00	17.72	17.81	17.28	17.517	31992	45945		-0.008097395							
2/16/2010	17:00	17.635	18.285	17.52	18.218	45058	43391		0.040018268							
2/17/2010	17:00	18.225	18.4	17.895	18.168	45143	41641		-0.002744538							
2/18/2010	17:00	17.98	18.335	17.745	18.13	40466	38403		-0.00209159							
2/19/2010	17:00	17.92	18.58	17.83	18.483	37014	36697		0.019470491							
2/22/2010	17:00	18.44	18.635	18.205	18.292	36756	31894		-0.01033382							
2/23/2010	17:00	18.29	18.495	17.855	17.958	45113	22545		-0.018259348							
2/24/2010	17:00	17.92	18.07	17.69	18.01	45350	12267		0.002895645							
2/25/2010	17:00	18	18.225	17.68	18.18	36532	3752		0.0094392							
2/26/2010	17:00	18.193	18.598	18.093	18.569	30203	62023		0.02139714							
